student_id,age,gender,major,gpa,study_hours_per_week,satisfaction_1_5,survey_date,dorm_resident,expected_grad_year,income_range,commute_minutes,clubs_member,attendance_rate,favorite_language,comments
S10063,19.0,Male,Biology,,,,2025-13-40,No,2030,>$100k,0,FALSE,,,
S10064,22.0,Male,Business,,ten,,2025-13-40,,,<$25k,,No,,,Love the course.
S10065,,,Computer Science,,,4,,N,2029,,15,Yes,,Python,
S10066,20.0,,History,3.56,21,3,02-Sep-2025,N,,<$25k,,TRUE,93%,SQL,Too much homework.
S10067,,Male,CS,,,,11/04/2025,Yes,2026,Prefer not to say,,0,,Python,
S10068,24.0,prefer not to say,Data Science,,,,11/17/2025,Y,2028,$50k-$75k,15,1,105%,Rust,
S10069,,prefer not to say,Data Science,3.54,-3,4,,N,2030,$50k-$75k,0,1,,C++,
S10070,23.0,Other,Business,3.75,,2,2025-09-12,Y,2030,<$25k,,TRUE,,Go,
S10071,23.0,prefer not to say,Computer Science,"4,0",20,2,,N,2028,Prefer not to say,45 min,FALSE,,Go,Lectures are 🔥
S10072,,Female,Undeclared,5.1,-3,1,2025-13-40,No,,<$25k,,,,Go,Lectures are 🔥
S10073,20.0,,Undeclared,3.75,20,2,11/07/2025,,2030,$75k-$100k,,,105%,Go,Lectures are 🔥
S10074,19.0,Male,Math,"4,0",,5,2025-13-40,,twenty28,>$100k,0,,,C++,Too much homework.
S10075,19.0,Other,,3.75,9,4,,Y,2026,$25k-$50k,45 min,Yes,,Rust,
S10076,19.0,Male,CS,,0,five,11/30/2025,Yes,,<$25k,50,1,,,Love the course.
S10077,,prefer not to say,,3.75,12.5,2,2025-10-22,,2028,,-5,,,SQL,Love the course.
S10078,24.0,,Undeclared,,12.5,,29-Sep-2025,N,2027,>$100k,,No,,Go,
S10079,21.0,Male,Math,,,2,2025-13-40,,twenty28,,-5,,,Go,
S10080,19.0,prefer not to say,CS,5.1,8,,2025-11-04,,twenty28,$75k-$100k,4,,64%,Rust,
S10081,,,CompSci,"4,0",17,,2025-13-40,N,,>$100k,,TRUE,81%,C++,Need more examples.
S10082,,Female,Computer Science,,-3,five,11/18/2025,,,$50k-$75k,0,,,Python,
S10083,19.0,Other,Data Science,,12.5,3,2025-10-13,Yes,2028,$50k-$75k,0,Yes,105%,C++,
S10084,24.0,Other,Math,5.1,-3,2,2025-13-40,,,<$25k,,Yes,,Go,Too much homework.
S10085,21.0,Female,Math,5.1,,five,2025-13-40,Yes,2026,Prefer not to say,,1,105%,Java,Too much homework.
S10086,20.0,prefer not to say,Computer Science,3.75,ten,,18-Nov-2025,No,twenty28,$25k-$50k,45 min,,,,
S10087,,,CS,,0,five,,N,2029,,,,105%,,Love the course.
S10088,19.0,,Data Science,5.1,12.5,,11/05/2025,,2027,$25k-$50k,15,TRUE,105%,Python,Need more examples.
S10089,23.0,Female,Undeclared,,7,,2025-13-40,No,,,,TRUE,,,Lectures are 🔥
S10090,25.0,,Computer Science,3.79,ten,3,2025-13-40,Yes,2030,<$25k,45 min,,,Python,Love the course.
S10091,,,CS,5.1,,five,2025-13-40,Yes,2029,Prefer not to say,,1,105%,Go,Love the course.
S10092,24.0,Female,Data Science,,-3,five,,Yes,2026,$75k-$100k,60,1,,Rust,Lectures are 🔥
S10093,19.0,Other,Biology,3.75,20,3,06-Sep-2025,Yes,,,,0,,,
S10094,20.0,Male,CS,,ten,1,11-Oct-2025,Yes,2030,,-5,,,JavaScript,Love the course.
S10095,18.0,Other,History,,0,,20-Oct-2025,N,twenty28,Prefer not to say,15,,87%,C++,
S10096,24.0,,Math,,,,24-Nov-2025,,twenty28,>$100k,,0,,,Lectures are 🔥
S10097,,prefer not to say,History,5.1,30,2,2025-13-40,,,>$100k,,TRUE,,,Too much homework.
S10098,19.0,Female,Business,"4,0",,,18-Oct-2025,,2027,>$100k,15,1,75%,Rust,Lectures are 🔥
S10099,18.0,Female,CS,"4,0",12.5,5,,N,,Prefer not to say,45 min,FALSE,,C++,Too much homework.
S10100,,prefer not to say,Data Science,5.1,20,2,,,,,,,,JavaScript,
S10101,20.0,Female,CS,"4,0",20,,11/10/2025,Yes,2027,<$25k,0,0,105%,SQL,
S10102,19.0,Female,Business,,-3,,,No,2028,,0,TRUE,,C++,
S10103,22.0,Female,Math,3.75,20,five,2025-10-07,,2029,Prefer not to say,,Yes,105%,Rust,
S10104,19.0,,Math,"4,0",,,2025-11-12,Y,2027,<$25k,,No,99%,SQL,
S10105,25.0,,History,,ten,,,Y,2026,$25k-$50k,0,0,105%,JavaScript,Need more examples.
S10106,20.0,Other,Business,5.1,0,3,,Yes,2027,$50k-$75k,-5,FALSE,,,Lectures are 🔥
S10107,19.0,Male,History,5.1,0,4,21-Sep-2025,Yes,,$25k-$50k,-5,0,91%,Rust,Need more examples.
S10108,19.0,prefer not to say,CompSci,,20,1,07-Sep-2025,,twenty28,$50k-$75k,68,FALSE,,Java,Need more examples.
S10109,24.0,Other,Computer Science,"4,0",ten,,10-Nov-2025,Y,2030,>$100k,,FALSE,,C++,Too much homework.
S10110,23.0,,Business,,-3,,2025-11-04,Y,2026,$25k-$50k,-5,0,105%,Java,Too much homework.
S10111,23.0,Female,Undeclared,3.75,12.5,,,Yes,twenty28,Prefer not to say,,0,,Python,
S10112,,Male,Undeclared,5.1,28,,2025-13-40,Yes,2029,Prefer not to say,-5,Yes,,SQL,
S10113,18.0,,Data Science,,0,3,2025-13-40,N,2030,>$100k,-5,TRUE,,Java,
S10114,,Other,CS,,,,08-Nov-2025,Yes,,Prefer not to say,,0,105%,JavaScript,Too much homework.
S10115,22.0,Female,History,3.75,,,01-Nov-2025,Yes,,$50k-$75k,0,1,,Go,
S10116,18.0,Other,Data Science,,12.5,,09/28/2025,Yes,,>$100k,,Yes,75%,JavaScript,Love the course.
S10117,,,Biology,3.2,0,,2025-10-31,No,2028,<$25k,,1,,,
S10118,22.0,Other,History,5.1,ten,five,09/05/2025,,2028,<$25k,-5,Yes,62%,Rust,
S10119,22.0,,,,,five,,N,twenty28,$50k-$75k,,,,,Too much homework.
